Tweet,Polarity
ساعه قبل المغرب نخصصها وندعي على اللهم اهلكهم وافلسهم ودمر فروعهم اللهم امين ,neg
شبكه سوا من امس كلبه وشكرا ,neg
صوره بدون تحيه لشركات النصب والاحتيال كلمه_لشركات_الاتصالات ,neg
طبعا مستحيل يمر يوم بدون م اسب ,neg
طبعا من ضمن البنيه التحتيه اللي لازم تخرب و النت يتعطل مع المطر,neg
طيح الله حظهم كلهم خياس بس المركز الاول بلا منازع كلمه_لشركات_الاتصالات,neg
عدلوو النت ترا قسم بالله زي حوش الغنم ولا مافيه كشته,neg
عشرميه ساعه عشان احمل حلقتين بس من المسلسل ستايل,neg
عندي فور جي و الاتصال زق مثل وجيهكم يا ,neg
فتحت تجوال البيانات عشان اشوف واتس اكبر_مبلغ_خسرته_في_لحظات بكل_صراحه موبايلي زين ,neg
كسم النت على ام من ضعف النت عندي صرت اسرق من نت الجيران واسرع كمان,neg
كل شي زفت يجتمع عليك والنت ازفت من الزفت حسبي الله عليكم يالاتصالات بانواعها تاخذون فلوسنا بدون خدمهتبرد القلب مافي ذمه ولا ضمير زين,neg
كل يوم اقول يمكن يتحسن الانترنت وابدا في البحث الجامعي لكن الاتصال مايساعد ,neg
لا 4G ولا 3G ولا حتى 2G Ping يا معلق وزاره البرق والبريد والهاتف ,neg
لا بارك الله في ,neg
لا حول الله يارب بدلنا الشريحه ونفس المشكله ضعيف النت ,neg
ليل ونهار صاجيننا برسايل عميل التميز اخرتها ينصك بوجهي قبل اقسم الموظف الي خدمته زي السلطه ,neg
مايسمحون له بمثل هالحركات المنحطه الي يمارسها ويعرف ايضا ان اسلامنا اقوى من قذارتك ياموظف يتبع 4 فتاه_تتعري_في_شركه_stc,neg
محاوله افساد المجتمع عبر امراه دنيئه بمجاهرتها التعري لتصور من احدى مكاتب موظفي خدمات العملاا فتاه_تتعرى_في_شركه_stc مقاطعه_stc,neg
مذله ,neg
مشترك 10 قيقا يوصلني 2 قيقا حسبي الله ونعم الوكيل كلمه_لشركات_الاتصالات,neg
من العن الشركات اللي شوفتها عساها تنحرق ,neg
مودم البيت باقه جوال 2 جهاز هواوي والارسال عند خياس حتى بالاتصال تفصل الشبكه كامل عساكم للنار والشرار بكل ريال تاخذونه نصب وكذب,neg
نحن على اخر 2015 ولانزال نعاني من الانترنت المقدم من و زين حتى موبايلي اصبحت الاسوا ولايوجد حمايه للمستهلك ضد سوا شركات الاتصال ,neg
ندفع لهم فلوس عشان نرفع ضغط نفسنا ,neg
هذا وهو الياف بصريه الله لايسامحكم ,neg
والله ان الحماراللي سوت عشانه كده الشركهكلها مالهاداعي في الحياه يارب تفلس وتقفل ولاتنحرق ايش العالم المقرفه فتاه_تتعري_في_شركه_stc,neg
والله لو ان اس تي سي رجلا لاغتصبته اس_تي_سي الاتصالات_السعوديه النت_ضعيف,neg
والله نفسي ارفع قضيه على الشكره احراميه او اقل شي اشتكي عليهم هيئه الاتصالات ايش الحل مع نصبهم ,neg
والله يالازعاج انه منكم ,neg
وتستمر معاناه مع شبكه بيتنا من اربع ايام تقريبا كل شوي تعلق ,neg
وحدو الدعاا عليهم موبايلي زين ,neg
وفي هذا الوقت من كل يوم يبدون بحركات التقطيع,neg
ي كررهي ل لا ورسائلهم علي انقلش زادوا الطين بله ,neg
ياااا ترى ارتفع ضغطي منكم لا بارك الله بشركم وبشر اللي يشترك معاكم ,neg
يارب صبرك ,neg
يارب كل الي له علاقه في بطئ النت عندنا يخرب النت عنده سنه حتى ايميله مايقدر يفتحه ,neg
يارب يمون النت حقكم يارب يموت النت حقكم يارب يموت النت حقكم يارب يموت النت حقكم ,neg
يالله صباح خير قومتن امي من النوم بخبر سيا للاسف قطعوا التلفون حسبي الله عليكم ,neg
يالله يارب ان تاخذهم ,neg
يقال احذر ان يشكوك احد الى الله فلن ينتهي حتى يصيبه ماذاقه منك اللهم اني اشكو اليك كل من اغتصب حقوق_موظفي_stc ومن قاموا بهيكله ,neg
 12ساعه ومحافظه حقل خارج تغطيه الاتصالات_السعوديه,neg
 24ساعه و حقل مقطوعه من خدمه الاتصالات_السعوديه,neg
 ارسال التغريده اصبح يستغرق نحو 10 دقائق عبر نت الاتصالات_السعوديه على الرغم من ان فاتورتهم كما هي ولم يعوضوني عن بطا الخد ,neg
 استبيان هل جميع محافظه_الكامل يعانون من ضعف النت والمكالمات الاتصالات_السعوديه موبايلي زين ,neg
 اكثر من 24 ساعه وخدمه الاتصالات_السعوديه خارج الخدمه في محافظه حقل,neg
 الاتصالات_السعوديه _ stc_ لا تحترم عملااها تعامل سيئ ولا تحترم العميل,neg
 الاتصالات_السعوديه اسرق منكم ماشفت رصيدي يروح ليششش وانا ماكلمت فيه,neg
 الاتصالات_السعوديه افشل شركه خدمات خرا ونصابيييييين ونت مافيه العالم وصلو سطح القمر وانتم باقي تعطون رسايل مجانيه ,neg
 الاتصالات_السعوديه اقفل عندهم خط ثابت بعد سنه ونصف يجيك فاتوره على نفس الخط وتراجع فرعهم يقولك الموظف ما عندي شي افيدك فيه ,neg
 الاتصالات_السعوديه تحظر الاتصال بشركات اتصال سعوديه مهزله ,neg
 الاتصالات_السعوديه طيب يوم تضيفون لي خرابيطكم ما شفتو المودم اذا ينفع او لا ولا بس اهم شي مصلحتكم حسبي الله عليكم من شركه بس,neg
 الاخوه في شركه الاتصالات_السعوديه الانترنت في تيماا سيا للغايه للجيل الثالث والرابع نامل حل المشكله وزياده الابراج ,neg
 انتم نظامكم دايم خربان اشحن عشان تسحبون رصيدي وادق الموظف يقول النظام خربان اتصلي بعد شوي الاتصالات_السعوديه ,neg
 ايرجى بالجراد صلاح امر وقد جبل الجراد على الفساد تحيه لكل مواطن لم تنصفه الاتصالات وهيئتها هيئه_الاتصالات ال ,neg
 تذمر اهلي حقل من انقطاع الاتصالات_السعوديه عن العمل,neg
 سكان البدع يشتكون من سوا خدمه اتصالاتstc البدع مقناا العصيله قيال الاتصالات_السعوديه ,neg
 شركات الاتصالات تعطل كل شي جميل بهذه الاجواا شركه عيبهاالدائم الانقطاع عساهم للعوق جميعا ضباا امطار_تبوك الاتصالات ,neg
 صوره صوره تبين التلاعب في اسعار وباقات الانترنت لدى شركه الاتصالات_السعوديه تحايل_شركه_STC_بعملائها ,neg
 كلمه_لشركات_الاتصالات الاتصالات_السعوديه انتم من يتستر على الفساد بسبب ان المواطن يجد صعوبه وشروط تعجيزيه في ارسال البرقيه للمسؤلين ,neg
 لا استغرب تسرب عملائكم مادامت هذي هي اساليب الارتقاا_بمعايير_الشموخ في الاتصالات_السعوديه,neg
 لاتتعب نفسك مع الاتصالات_السعوديه هذا الرد اللي بيجيك ,neg
 لاتنسخ الكلام تلصقه الفرع مابرجع له اصلا مافي احترام للعملاا الاتصالات_السعوديه,neg
 للاسف طال الانتظار ولا تزال خدمتكم خارج الخدمه الاتصالات_السعوديه ,neg
 معامله نقل خط تلفون منذ اكثر من 10 ايام مع انهم وعدوني بالانتهاا خلال 48 ساعه ولا رد او تجاوب الاتصالات_السعوديه,neg
 معاناه يوميه مع الاتصالات لواجهه عسير البحريه مع عده شكاوى رفعت للشركه ولكن دون جدوى الاتصالات_السعوديه الحريضه_ ,neg
 من صباح يوم امس ونحن نعاني انقطاع خدمه الاتصالات_السعوديه,neg
 موبايلي الاتصالات_السعوديه ضعف النت في بحره المجاهدين الجنوبيه حمله_نقل_الخدمه_من_موبايلي_الى_الاتصالات_السعوديه,neg
 انترنت_السعوديه_ضعيف من كثر ما طفشت من النت البطيا فكرت اهاجر من السعوديه ,neg
 انترنت_السعوديه_ضعيف من متى واحنا نتكلم والى متى راح نتكلم حسبي الله ونعم الوكيل ,neg
 انترنت_السعوديه_ضعيف من واقع تجربه شركه STC اسوا شركه اتصالات ,neg
 انترنت_السعوديه_ضعيف من وين يجي قوي موبايلي اللي فيها مصاريه كلهم مايدرون وين الله موديهم كله حسد عشان مايوظفون سعوديين ويست ,neg
 انترنت_السعوديه_ضعيف من يدخل الشتاا انسى النت لابوكم شركه نصابه نتكم خياس وتبريراتكم اخيس ,neg
