Tweet,Polarity
 اعدام النمر مساله سعوديه داخليه للمملكه الحق في حمايه امنها الوطني والقومي,pos
 الحمد لله الذي بنعمته تتم الصالحات الداخليه تنفذ احكاما بالقتل في 47 خارجيا بينهم فارس ال شويل ونمر النمر ,pos
 الدار الاخره للمتقين النمر كان مقيد وراا الجدران والان انطلق الى عالم الجزاا وعند رب كريم هنيئا لكل شهيد,pos
 الشهاده هي وسام فخر لشيعه امير المؤمنين على مدى الازمان و حتى ظهور القائم لا خوف ابدا هنيئا السيد نمر النمر ,pos
 الشهيد البطل نمر النمر ,pos
 الشيخ النمر لم يمت سيبقى دمه نبراسا يضيا دروب الاحرار في هذا العالم ,pos
 الشيخ نمر باقر النمر لم يقتل اي شخص ولم يفجر اي مكان فقط طالب بالحريه والحقوق وكان سلاحه الكلمه واللاعنف ودفع ثمن شجاعته ف ,pos
 القتل لنا عاده و كرامتنا من الله الشهاده الشيخ_النمر_شهيد النمر في الجنه ,pos
 الكويت عدنان عبدالصمد الشهيد النمر كان من ابرز الدعاه الى الوسائل السلميه ونبذ العنف للمطالبه بالحريه والعداله الاجتماعي ,pos
 الله يحفظه صاحب عاصفه الحزم والتحالف السني واعدام النمر,pos
 الله يرحمه برحمته الواسعه الشهيد البطل باقر النمر رحمك الله ,pos
 اللهي ان كان هذا يرضيك فخذ حتى ترضى من الحسين الى النمر تسير قوافل الشهداا استشهاد_النمر_نهايه_ال_سعود ,pos
 المرجع الشيرازي يوقف درسه الخارج في الفقه حدادا على روح ايه الله المجاهد الشيخ الشهيد نمر النمر داعيا بان يحشره الله ,pos
 النمر شهيد الكرامه الشهيد_النمر ,pos
 ايا النمر الاباا وعزه الشرف عدموك والله فلن تبقئ عساكرهم ويبقئ دمك المحفوف بالظفر استشهاد_النمر ,pos
 ايه الله الشيخ الشهيد نمر النمر رضوان الله عليه نموت احرار او نعيش عبيد ,pos
 بالسيف يرجع لي الامر وباذن الله الواحد احد اليوم ب رقبه النمر وبكره على رقبه الاسد الملك_سلمان ,pos
 اللهم انصرهم وكن لهم معين رجال_الحد_الجنوبي ,pos
 اللهم انهم عبيدك تركوا خلفهم ابناا واباا اللهم فردهم واحفظهم وارحم ميتهم ومدهم بقوه من قوتك انك على كل شي قدير رجال_الحد_ال ,pos
 اللهم انهم يحاربون عدوك وعدوهم فكن لهم عونا ونصيرا يارب رجال_الحد_الجنوبي ,pos
 اللهم اني اسالك بعزك الذي لا يرام وبملكك الذي لا يضام ان تحمي قبله الاسلام والمسلمين وتنصر جنودنا الابطال رجال_الحد_الج ,pos
 اللهم اني استودعتك جنودنا الابطال المرابطين فاحفظهم وسدد رميهم وردهم لنا سالمين منصورين رجال_الحد_الجنوبي ,pos
 اللهم ايد واحفظ وانصر رجال_الحد_الجنوبي وسدد رميهم واعدهم لاهليهم سالمين غانمين عاصفه_الحزم,pos
 اللهم ايدهم بنصرك واحفظهم بحفظك يارب العالمين رجال_الحد_الجنوبي ,pos
 اللهم ايدهم وثبت اقدامهم وانصرهم وامن ديننا وبلاد المسلمين من كيد الكائدين وغدر الغادرين رجال_الحد_الجنوبي ,pos
 اللهم ثبت اقدام جنودنا البواسل على حدود الوطن وانزل عليهم السكينه وانصرهم نصرا مؤزرا امين رجال_الحد_الجنوبي الحد_ال ,pos
 اللهم ثبت اقدام جنودنا المرابطين وانزل عليهم السكينه والنصر وردهم سالمين غانمين يارب رجال_الحد_الجنوبي الحد_الجنوبي,pos
 اللهم ثبت اقدامهم وسدد رميهم وانزل سكينتك عليهم وقوي شوكتهم اللهم انصرهم نصرا مؤزرا عاجلا غير اجل امين رجال ,pos
 اللهم ثبت جنودنا رجال_الحد_الجنوبي وانصرهم على اعدائهم واشفي جرحاهم وتقبل شهدااهم واعدهم لاهلهم سالمين,pos
 اللهم جمل اقدراهم ب جنه النعيم لكل شهيد وعجل ل احيااهم بالنصر القريب رجال_الحد_الجنوبي,pos
 اللهم سدد الرمي وجعلها تصيب وتهلك رجال_الحد_الجنوبي نجران_الان الخوبه_الان ,pos
 اللهم سدد رمي جنودنا رجال_الحد_الجنوبي,pos
 اللهم سدد رميهم ماشاا الله تبارك الله قنص الزقاره من فم خويه رجال_الحد_الجنوبي ,pos
 اللهم سدد رميهم و احفظهم بحفظك الذي يدوم رجال_الحد_الجنوبي,pos
 رجال_الحد_الجنوبي اللهم انصر جنودنا المرابطين على الحد الجنوبي وكن لهم معينا ونصيرا وثبت اقدامهم وانصرهم نصرا مؤزرا انك ,pos
 رجال_الحد_الجنوبي اللهم انصر جنودنا واحفظ بلادنا,pos
 رجال_الحد_الجنوبي اللهم انصر جنودنا وسدد رميهم وارحم شهدااهم السيل_الجرار السعوديه صنعاا اليمن,pos
 رجال_الحد_الجنوبي اللهم انصرجنودنا المرابطين ,pos
 رجال_الحد_الجنوبي اللهم انصرهم اللهم سدد رميهم اللهم اكفنا باعدائنا انك انت الكافي البصير وحفظ ولاه امورنا انك على كل شي قدير,pos
 رجال_الحد_الجنوبي اللهم انصرهم بنصرك و ايدهم بتاييدك و امدهم بجند من جندك و اربط على قلوبهم و ثبت اقدامهم ,pos
 رجال_الحد_الجنوبي اللهم انصرهم ع عدوهم وارحم شهيدهم واشفي مصابهم واخلف ذويهم خيرا ,pos
 رجال_الحد_الجنوبي اللهم انصرهم و سدد و رميهم و تقبل شهيدهم و اشف جريحهم ,pos
 رجال_الحد_الجنوبي اللهم انصرهم واحفظهم وثبت اقدامهم,pos
 رجال_الحد_الجنوبي اللهم انصرهم واشدد ازرهم وثبت قلوبهم وارحم وتقبل شهدائهم ,pos
 رجال_الحد_الجنوبي اللهم انصرهم وثبت اقدامهم فوق كل ارض وتحت كل سماا ,pos
 رجال_الحد_الجنوبي اللهم انصرهم وثبت اقدامهم وايدهم بنصر من عندك عاجلا غير اجل اللهم تقبل شهدااهم واشف مصابهم واخلفهم في اهل ,pos
 رجال_الحد_الجنوبي اللهم انصرهم وسدد رميهم اللهم اجزهم عنا كل خير وارحم الشهداا منهم ,pos
 رجال_الحد_الجنوبي اللهم انصرهم وسدد رميهم وتقبل الشهداا منهم واحمي هذا الوطن من كل حاقد فخورين بكم ايها الابطال ,pos
 رجال_الحد_الجنوبي اللهم انصرهم وسدد رميهم وتقبل شهدائهم واحفظ بلادنا من كل سوا,pos
 رجال_الحد_الجنوبي اللهم انصرهم وسدد رميهم وثبت اقدامهم يارب كن معهم ,pos
 رجال_الحد_الجنوبي اللهم انصرهم وسدد رميهم ووفقهم اينما كانو وعمي عدوهم ,pos
 رحم الله شهدائنا وحفظ جنودنا المرابطين على الحدود من كل شر رجال_الحد_الجنوبي ,pos
 رساله من احد رجال_الحد_الجنوبي هؤلاا هم الرجال في ميدان الشرف اللهم احفظهم بحفظك يا كريم ,pos
 زد_رصيدك19 في ودائع الرحمن الرجال الاوفياا اللهم سدد رميهم وشتت شمل عدوه م يارب العالمين رجال_الحد_الجنوبي,pos
 سطروا اسمى معاني البطوله على جبال ثغور بلادنا المباركه فهم اصحاب افعال لا اقوال نسال الله ان ينصرهم ويحفظهم رجال_الحد_الجنوب ,pos
 شتان بين دموع الرجال الشريم_يجلد_العريفي جنودنا_البواسل لاتنسوهم من الدعاا اللهم انصرهم رجال_الحد_الجنوبي ,pos
 شكرا رجال الحد الجنوبي وجميع افراد الامن في هذا البلدالامن المرشحه_قماشه_فقيهي رجال_الحد_الجنوبي اكشن_يا_دوري الانتخابات_ ,pos
