Tweet,Polarity
 بعد ابلاغه بصدور التصديق بحكم الاعدام ضده كان اول رد فعل للشيخ نمر النمر قوله الله يبشركم بالخير الشيخ_نمر_النمر ,pos
 بمزيدا من الفخر والاعتزاز تزف شيعيه امير المؤمنين علي بن ابي طالب الشيخ المجاهد البطل النمر هنيا لك الشهاده ,pos
 توقيت اعدام نمر النمر عيد راس السنه لغير المسلمين يذكرنا بتوقيت اعدام صدام حسين في عيد المسلمين الدهاا السعودي ,pos
 خلفه رجال الشيخ_النمر_شهيدا الشيخ_النمر القطيف العواميه الدمام الاحساا الشرقيه البحرين_تنزف الامن_الثوري ,pos
 رحم الشيخ الشهيد النمر,pos
 عاجل احتفالات في جميع مناطق الاحواز بعد سماعهم تنفيذ حكم القتل بنمر النمر ضمن ال 47 الذين تم تنفيذ الاحكام الشرعيه ب ,pos
 عضو المجلس القومي لحقوق الانسان في مصر كمال الهلباوي الشيخ النمر هو رجل سلام وحوار ولا علاقه له باي افكار تدعو للعنف,pos
 فارس_ال_شويل سني و نمر النمر شيعي الدوله و الامن خط احمر والقصاص من الارهابي لا يفرق بين منطقه او مذهب او ,pos
 فاز الشهيد ونال العز والشرف ذكرى له باقيه على طول المدى استشهاد الشيخ نمر النمر ,pos
 في الوقت الذي تعدم السعوديه فيه نمر النمر تبتعث ابنه على حسابها لامريكا لاكمال تعليمه لم تاخذ الابن بجريره ابيه ي ن,pos
 لن يموت النمر فهو حي في جنان الله قد اختار الخلود مع الرسل والشهداا والصالحين لن يموت النمر فهو حي فينا بكل ذراتنا وخلايا ,pos
 مقابه البحرين ستبقى يا يا نمر صرحا شامخا يتعلم منه الجيل المقبل معنى الكرامه صوره من تظاهره الوفاا للشيخ النمر ,pos
 من الان وصاعدا منبرك في القلوب يا ايها الشهيد النمر الشهاده_طريق_الاحرار استشهاد_نمر_النمر الشهيد_الشيخ_باقر_النمر,pos
 من كلام الشهيد النمر اما نعيش على هذه الارض احرار او نموت في باطنها ابرار انتصار_النمر_بدايه_لنهايتكم ,pos
 من كلام الشهيد النمر لن تنتهي الحياه بموت الانسان تبدا الحياه الحقيقيه بموت الانسان انتصار_النمر_بدايه_لنهايتكم ,pos
 مؤيده لفكر نمر النمر و تعلن انها مستمره على نهجه ضد الدوله ,pos
 نحن على استعداد ان يسفك دمنا كما سفك دم الحسين الشهيد الشيخ نمر باقر النمر,pos
 نحن من سكان محافظه القطيف مدينه عنك وسعداا جدا باعدام القرد النمر والشوارع عاديه ولافيه شي بلا كذب يا ايراني,pos
 نفدي النحر والروح لجلك يالحسين النمر لمن صاح هز الميادين بقم خادمكم عظم الله لنا ولكم الاجر بالشيخ النمر ,pos
 نهدي ثواب زياره سيد الشهداا الى روح الشهيد الشيخ النمر والى اروح الشهداا حشرهم الله مع الحسين ,pos
 هنيئا ياشهيد ستحيا من جديد المشاركون في المسيره الحاشده يرفعون صور الشيخ النمر وسط هتافات غاضبه تزلزل الدراز ,pos
